INFO:root:20171006145644      get_html “Ï≥£,     url£∫http://sh.lianjia.com/ershoufang/p21l1d7
INFO:root:20171006151845   Parse Error£∫p21l1  59  d1
INFO:root:20171006151927      get_html “Ï≥£,     url£∫http://sh.lianjia.com/ershoufang/p21l1d8
INFO:root:20171006152041   Parse Error£∫p21l1  59  d1
INFO:root:20171006154027   Parse Error£∫p21l2  41  d4
INFO:root:20171006154115   Parse Error£∫p21l2  41  d10
INFO:root:20171006154334   Parse Error£∫p21l2  41  d37
INFO:root:20171006154748   Parse Error£∫p22l1  100  d42
INFO:root:20171006155022   Parse Error£∫p22l1  100  d69
INFO:root:20171006155237   Parse Error£∫p22l1  100  d97
INFO:root:20171006155905   Parse Error£∫p22l2  100  d42
INFO:root:20171006160055   Parse Error£∫p22l2  100  d65
INFO:root:20171006160536   Parse Error£∫p22l3  42  d27
INFO:root:20171006161055   Parse Error£∫p23l1  100  d79
INFO:root:20171006161148   Parse Error£∫p23l1  100  d85
INFO:root:20171006161459   Parse Error£∫p23l2  100  d39
INFO:root:20171006162420   Parse Error£∫p23l3  97  d23
INFO:root:20171006162450   Parse Error£∫p23l3  97  d26
INFO:root:20171006162718      get_html “Ï≥£,     url£∫http://sh.lianjia.com/ershoufang/p23l3d62
INFO:root:20171006162901   Parse Error£∫p23l3  97  d93
INFO:root:20171006163432   Parse Error£∫p24l2  100  d42
INFO:root:20171006163532   Parse Error£∫p24l2  100  d55
INFO:root:20171006164506   Parse Error£∫p24l3  100  d94
INFO:root:20171006164820   Parse Error£∫p25l1  28  d28
INFO:root:20171006165421   Parse Error£∫p25l2  100  d87
INFO:root:20171006165917   Parse Error£∫p25l3  100  d55
INFO:root:20171006170015   Parse Error£∫p25l3  100  d66
INFO:root:20171006170359   Parse Error£∫p25l4  38  d22
INFO:root:20171006170551   Parse Error£∫p25l6  3  d2
INFO:root:20171006170659   Parse Error£∫p26l2  60  d3
INFO:root:20171006170830   Parse Error£∫p26l2  60  d20
INFO:root:20171006171404   Parse Error£∫p26l3  88  d10
INFO:root:20171006171512   Parse Error£∫p26l3  88  d24
INFO:root:20171006171803   Parse Error£∫p26l3  88  d64
INFO:root:20171006172026   Parse Error£∫p26l4  27  d14
INFO:root:20171006172815   Parse Error£∫p27l3  100  d70
INFO:root:20171006173132   Parse Error£∫p27l4  76  d23
INFO:root:20171006173327   Parse Error£∫p27l4  76  d52
INFO:root:20171006173706   Parse Error£∫p27l5  36  d27
