股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
R004,sh201010,,,,,,,,,,,,,,,,,,,,,,
RC001,sh202001,,,,,,,,,,,,,,,,,,,,,,
RC003,sh202003,,,,,,,,,,,,,,,,,,,,,,
RC007,sh202007,,,,,,,,,,,,,,,,,,,,,,
0504R007,sh203016,,,,,,,,,,,,,,,,,,,,,,
0504R028,sh203017,,,,,,,,,,,,,,,,,,,,,,
0504R091,sh203018,,,,,,,,,,,,,,,,,,,,,,
0512R007,sh203040,,,,,,,,,,,,,,,,,,,,,,
0512R028,sh203041,,,,,,,,,,,,,,,,,,,,,,
0512R091,sh203042,,,,,,,,,,,,,,,,,,,,,,
0603R007,sh203052,,,,,,,,,,,,,,,,,,,,,,
0603R028,sh203053,,,,,,,,,,,,,,,,,,,,,,
0603R091,sh203054,,,,,,,,,,,,,,,,,,,,,,
GC001,sh204001,,,,,,,,,,,,,,,,,,,,,,
GC002,sh204002,,,,,,,,,,,,,,,,,,,,,,
GC003,sh204003,,,,,,,,,,,,,,,,,,,,,,
GC004,sh204004,,,,,,,,,,,,,,,,,,,,,,
GC028,sh204028,,,,,,,,,,,,,,,,,,,,,,
基金汉兴,sh500015,,,,,,,,,,,,,,,,,,,,,,
基金科讯,sh500029,,,,,,,,,,,,,,,,,,,,,,
基金通乾,sh500038,--,--,--,,,--,,,,,,0.94,,--,,,,,,,,
国金鑫新,sh501000,1.02,395手,1.03,,,4.04万,,,,,,1.02,,1.02,,,,,,,,
财通精选,sh501001,1.05,2.22万手,1.06,,,234.07万,,,,,,1.05,,1.05,,,,,,,,
能源互联,sh501002,1.06,350手,1.06,,,3.71万,,,,,,1.06,,1.06,,,,,,,,
精准医疗,sh501005,1.02,1015手,1.03,,,10.36万,,,,,,1.02,,1.02,,,,,,,,
互联医疗,sh501007,1,1872手,1,,,18.75万,,,,,,1,,0.99,,,,,,,,
互联医C,sh501008,0.99,61手,1,,,6025,,,,,,0.99,,0.99,,,,,,,,
